2011 Statistical Area Level 1  (SA1) 7-Digit Code,Usual Resident Population,Score,Ranking within Australia Rank,Ranking within Australia Decile, Ranking within Australia Percentile,Ranking within State or Territory State,Ranking within State or Territory Rank,Ranking within State or Territory Decile,Ranking within State or Territory Percentile
6105907,331,695,712,1,2,TAS,42,1,4
6105908,353,877,5483,2,11,TAS,246,2,19
6105909,462,793,1887,1,4,TAS,92,1,7
6105910,240,999,21631,5,42,TAS,808,6,60
6105911,439,1029,28605,6,55,TAS,1003,8,74
6105912,380,1038,30818,6,59,TAS,1055,8,78
6105913,379,958,14130,3,27,TAS,581,5,43
6105915,478,1027,27958,6,54,TAS,982,8,73
6105916,194,817,2547,1,5,TAS,118,1,9
6105917,164,849,3831,1,8,TAS,175,2,13
6105918,223,915,8701,2,17,TAS,371,3,28
6105919,228,1055,35205,7,67,TAS,1154,9,85
6105920,216,945,12263,3,24,TAS,507,4,38
6105921,185,946,12417,3,24,TAS,513,4,38
6105922,351,949,12886,3,25,TAS,532,4,40
6106001,405,924,9659,2,19,TAS,411,4,31
6106002,274,723,925,1,2,TAS,49,1,4
6106003,369,1008,23435,5,45,TAS,860,7,64
6106004,388,947,12610,3,24,TAS,522,4,39
6106005,532,896,6913,2,14,TAS,306,3,23
6106006,294,960,14453,3,28,TAS,591,5,44
6106007,576,972,16317,4,32,TAS,649,5,48
6106008,487,1034,29812,6,57,TAS,1036,8,77
6106009,221,892,6562,2,13,TAS,289,3,22
6106010,221,1079,41422,8,79,TAS,1247,10,92
6106101,311,859,4299,1,9,TAS,190,2,14
6106102,465,885,6057,2,12,TAS,269,2,20
6106103,271,916,8806,2,17,TAS,377,3,28
6106104,219,945,12302,3,24,TAS,510,4,38
6106105,352,895,6824,2,13,TAS,301,3,23
6106106,426,942,11902,3,23,TAS,491,4,37
6106107,149,1004,22604,5,43,TAS,835,7,62
6106108,726,982,18173,4,35,TAS,706,6,52
6106109,320,909,8085,2,16,TAS,343,3,26
6106110,301,845,3639,1,7,TAS,163,2,12
6106111,75,1029,28470,6,55,TAS,998,8,74
6106201,302,1088,43586,9,83,TAS,1285,10,95
6106202,309,924,9680,2,19,TAS,412,4,31
6106203,295,1003,22401,5,43,TAS,829,7,61
6106204,153,1054,34992,7,67,TAS,1148,9,85
6106205,498,1020,26316,6,51,TAS,949,7,70
6106206,393,1011,24148,5,46,TAS,886,7,66
6106207,301,954,13515,3,26,TAS,557,5,41
6106208,297,995,20739,4,40,TAS,781,6,58
6106209,296,1045,32648,7,63,TAS,1104,9,82
6106210,175,1086,43232,9,83,TAS,1276,10,94
6106211,553,971,16304,4,32,TAS,648,5,48
6106212,314,992,20111,4,39,TAS,763,6,57
6106213,543,998,21359,5,41,TAS,802,6,59
6106214,317,999,21472,5,41,TAS,804,6,60
6106301,356,973,16570,4,32,TAS,658,5,49
6106302,299,824,2788,1,6,TAS,132,1,10
6106303,412,947,12605,3,24,TAS,520,4,39
6106304,425,992,20017,4,39,TAS,759,6,56
6106305,406,897,6997,2,14,TAS,309,3,23
6106306,411,956,13899,3,27,TAS,575,5,43
6106307,204,840,3408,1,7,TAS,151,2,12
6106308,467,1005,22737,5,44,TAS,841,7,62
6106309,337,892,6623,2,13,TAS,294,3,22
6106310,287,961,14557,3,28,TAS,593,5,44
6106311,296,967,15509,3,30,TAS,629,5,47
6106312,171,938,11392,3,22,TAS,470,4,35
6106313,136,828,2910,1,6,TAS,135,1,10
6106314,267,915,8674,2,17,TAS,368,3,28
6106316,261,985,18789,4,36,TAS,726,6,54
6106317,444,996,20847,4,40,TAS,786,6,58
6106318,65,598,341,1,1,TAS,12,1,1
6106319,213,922,9392,2,18,TAS,400,3,30
6106320,310,1015,25206,5,48,TAS,920,7,68
6106321,250,962,14786,3,29,TAS,599,5,44
6106322,519,863,4523,1,9,TAS,197,2,15
6106323,273,874,5270,2,11,TAS,235,2,18
6106324,254,920,9220,2,18,TAS,394,3,29
6106325,208,847,3706,1,8,TAS,167,2,13
6106326,308,882,5776,2,11,TAS,255,2,19
6106401,356,880,5631,2,11,TAS,249,2,19
6106402,291,830,2982,1,6,TAS,137,2,11
6106403,195,994,20519,4,40,TAS,772,6,57
6106404,223,942,11903,3,23,TAS,492,4,37
6106405,173,911,8287,2,16,TAS,351,3,26
6106407,281,959,14249,3,28,TAS,586,5,44
6106408,365,939,11521,3,22,TAS,476,4,35
6106409,358,842,3469,1,7,TAS,153,2,12
6106410,209,940,11635,3,23,TAS,480,4,36
6106411,371,873,5154,1,10,TAS,231,2,17
6106412,141,913,8467,2,17,TAS,359,3,27
6106413,241,980,17709,4,34,TAS,688,6,51
6106414,434,996,20895,4,40,TAS,787,6,58
6106415,509,834,3134,1,6,TAS,143,2,11
6106416,366,862,4489,1,9,TAS,196,2,15
6106417,287,779,1609,1,4,TAS,79,1,6
6106419,322,898,7106,2,14,TAS,312,3,23
6106420,283,999,21500,5,41,TAS,805,6,60
6106421,502,760,1330,1,3,TAS,68,1,5
6106422,278,894,6741,2,13,TAS,298,3,22
6106501,390,871,5044,1,10,TAS,223,2,17
6106502,390,885,6003,2,12,TAS,266,2,20
6106503,476,896,6871,2,14,TAS,304,3,23
6106505,371,873,5193,1,10,TAS,234,2,18
6106506,242,995,20619,4,40,TAS,775,6,57
6106507,303,891,6482,2,13,TAS,285,3,21
6106601,256,1015,25054,5,48,TAS,916,7,68
6106602,367,1012,24425,5,47,TAS,898,7,66
6106603,171,995,20668,4,40,TAS,778,6,58
6106604,224,789,1801,1,4,TAS,86,1,7
6106605,134,837,3265,1,7,TAS,147,2,11
6106606,357,849,3837,1,8,TAS,177,2,13
6106607,233,916,8763,2,17,TAS,375,3,28
6106608,314,895,6854,2,14,TAS,303,3,23
6106609,286,940,11573,3,23,TAS,477,4,36
6106610,360,966,15457,3,30,TAS,626,5,46
6106611,398,996,20825,4,40,TAS,785,6,58
6106701,408,953,13464,3,26,TAS,555,5,41
6106702,296,869,4926,1,10,TAS,216,2,16
6106703,283,936,11127,3,22,TAS,460,4,34
6106704,391,950,12982,3,25,TAS,535,4,40
6106705,326,901,7389,2,15,TAS,322,3,24
6106706,355,930,10428,2,20,TAS,443,4,33
6106707,308,960,14444,3,28,TAS,590,5,44
6106708,229,944,12085,3,23,TAS,496,4,37
6106709,563,989,19562,4,38,TAS,744,6,55
6106710,260,810,2349,1,5,TAS,113,1,9
6106711,360,842,3471,1,7,TAS,154,2,12
6106712,519,1009,23750,5,46,TAS,869,7,64
6106713,372,865,4669,1,9,TAS,207,2,16
6106714,321,944,12130,3,24,TAS,499,4,37
6106715,228,843,3528,1,7,TAS,157,2,12
6106716,380,989,19574,4,38,TAS,745,6,55
6106717,468,951,13137,3,25,TAS,542,4,40
6106901,208,1014,24772,5,48,TAS,907,7,67
6106902,307,1034,29837,6,57,TAS,1038,8,77
6106903,469,1034,29839,6,57,TAS,1039,8,77
6106904,447,1053,34870,7,67,TAS,1145,9,85
6106905,193,1080,41670,8,80,TAS,1252,10,92
6106906,532,916,8821,2,17,TAS,378,3,28
6106907,158,935,10930,3,21,TAS,458,4,34
6106908,238,1014,24769,5,48,TAS,906,7,67
6106909,236,964,15161,3,29,TAS,614,5,46
6107001,244,940,11671,3,23,TAS,482,4,36
6107002,357,832,3068,1,6,TAS,140,2,11
6107003,235,904,7621,2,15,TAS,330,3,25
6107004,419,1007,23364,5,45,TAS,857,7,63
6107005,604,976,17124,4,33,TAS,672,5,50
6107006,284,1028,28325,6,54,TAS,993,8,73
6107007,308,1017,25539,5,49,TAS,924,7,68
6107008,282,875,5313,2,11,TAS,237,2,18
6107009,243,888,6258,2,12,TAS,277,3,21
6107010,279,983,18312,4,35,TAS,709,6,53
6107011,241,949,12830,3,25,TAS,528,4,39
6107012,370,988,19233,4,37,TAS,737,6,55
6107101,428,910,8232,2,16,TAS,348,3,26
6107102,372,854,4064,1,8,TAS,182,2,14
6107103,443,892,6575,2,13,TAS,290,3,22
6107104,320,938,11314,3,22,TAS,466,4,35
6107105,578,976,16990,4,33,TAS,670,5,50
6107106,371,810,2326,1,5,TAS,112,1,9
6107107,372,956,13814,3,27,TAS,569,5,42
6107109,350,926,9936,2,19,TAS,427,4,32
6107110,258,909,8088,2,16,TAS,344,3,26
6107201,272,1007,23353,5,45,TAS,856,7,63
6107202,162,928,10114,2,20,TAS,433,4,32
6107203,338,1008,23460,5,45,TAS,861,7,64
6107204,348,1039,31065,6,60,TAS,1062,8,78
6107205,276,1014,24773,5,48,TAS,908,7,67
6107206,579,1053,34807,7,67,TAS,1142,9,84
6107207,496,1019,26123,5,50,TAS,940,7,70
6107208,326,903,7509,2,15,TAS,326,3,24
6107209,516,966,15392,3,30,TAS,624,5,46
6107210,325,985,18672,4,36,TAS,724,6,54
6107211,368,982,18181,4,35,TAS,707,6,52
6107212,396,995,20715,4,40,TAS,779,6,58
6107213,523,871,5070,1,10,TAS,224,2,17
6107214,266,1010,23945,5,46,TAS,874,7,65
6107215,346,945,12230,3,24,TAS,503,4,37
6107216,290,952,13279,3,26,TAS,547,5,41
6107217,292,1018,25812,5,50,TAS,930,7,69
6107218,415,887,6199,2,12,TAS,275,3,21
6107219,437,809,2312,1,5,TAS,110,1,9
6107220,452,1019,26025,5,50,TAS,938,7,69
6107221,344,970,16144,4,31,TAS,642,5,48
6107301,338,957,14020,3,27,TAS,578,5,43
6107302,284,861,4391,1,9,TAS,193,2,15
6107304,274,919,9128,2,18,TAS,390,3,29
6107305,356,929,10257,2,20,TAS,438,4,33
6107306,280,917,8863,2,17,TAS,382,3,29
6107307,274,838,3336,1,7,TAS,150,2,12
6107308,88,935,10984,3,21,TAS,459,4,34
6107309,210,924,9654,2,19,TAS,410,4,31
6107310,251,911,8295,2,16,TAS,353,3,26
6107401,278,972,16364,4,32,TAS,651,5,48
6107403,204,993,20265,4,39,TAS,767,6,57
6107404,374,889,6328,2,13,TAS,280,3,21
6107406,125,973,16610,4,32,TAS,660,5,49
6107407,304,988,19335,4,37,TAS,739,6,55
6107408,222,737,1051,1,2,TAS,56,1,5
6107409,235,951,13181,3,26,TAS,544,4,40
6107410,155,925,9837,2,19,TAS,422,4,31
6107411,135,981,17983,4,35,TAS,697,6,52
6107412,219,907,7941,2,16,TAS,338,3,25
6107413,172,1006,22993,5,44,TAS,847,7,63
6107414,376,924,9713,2,19,TAS,413,4,31
6107415,275,1011,24205,5,47,TAS,889,7,66
6107417,356,941,11769,3,23,TAS,489,4,36
6107418,252,890,6383,2,13,TAS,281,3,21
6107419,288,861,4435,1,9,TAS,194,2,15
6107420,188,949,12807,3,25,TAS,527,4,39
6107501,288,886,6135,2,12,TAS,271,2,20
6107502,361,843,3537,1,7,TAS,158,2,12
6107503,285,911,8280,2,16,TAS,350,3,26
6107504,301,886,6101,2,12,TAS,270,2,20
6107505,594,838,3335,1,7,TAS,149,2,11
6107506,589,850,3855,1,8,TAS,178,2,14
6107507,364,841,3446,1,7,TAS,152,2,12
6107508,513,938,11354,3,22,TAS,468,4,35
6107601,464,972,16373,4,32,TAS,652,5,48
6107602,418,998,21270,5,41,TAS,800,6,59
6107603,417,1031,29021,6,56,TAS,1015,8,75
6107604,398,945,12259,3,24,TAS,505,4,38
6107605,250,914,8625,2,17,TAS,366,3,27
6107606,418,1031,28998,6,56,TAS,1014,8,75
6107607,361,1011,24055,5,46,TAS,876,7,65
6107608,400,1012,24397,5,47,TAS,896,7,66
6107609,396,999,21409,5,41,TAS,803,6,59
6107610,325,1014,24877,5,48,TAS,911,7,67
6107611,451,939,11512,3,22,TAS,474,4,35
6107612,381,983,18350,4,35,TAS,713,6,53
6107613,309,997,21161,5,41,TAS,798,6,59
6107614,123,898,7078,2,14,TAS,310,3,23
6107701,383,864,4600,1,9,TAS,202,2,15
6107702,182,996,20806,4,40,TAS,784,6,58
6107703,445,904,7627,2,15,TAS,331,3,25
6107704,69,1059,36440,7,70,TAS,1173,9,87
6107707,268,915,8725,2,17,TAS,373,3,28
6107708,291,831,3005,1,6,TAS,139,2,11
6107709,452,888,6230,2,12,TAS,276,3,21
6107710,366,922,9434,2,18,TAS,402,3,30
6107711,339,846,3644,1,7,TAS,164,2,13
6107712,452,876,5394,2,11,TAS,242,2,18
6107713,547,945,12318,3,24,TAS,511,4,38
6107801,487,982,18069,4,35,TAS,704,6,52
6107802,362,552,236,1,1,TAS,6,1,1
6107803,223,835,3198,1,7,TAS,146,2,11
6107804,346,543,219,1,1,TAS,5,1,1
6107805,183,989,19595,4,38,TAS,746,6,55
6107806,312,1102,46795,9,90,TAS,1330,10,98
6107807,615,1039,31229,6,60,TAS,1067,8,79
6107808,358,946,12379,3,24,TAS,512,4,38
6107809,351,1034,29786,6,57,TAS,1034,8,76
6107810,229,1005,22854,5,44,TAS,844,7,62
6107811,289,1040,31246,6,60,TAS,1069,8,79
6107812,494,1045,32697,7,63,TAS,1105,9,82
6107813,347,917,8897,2,17,TAS,383,3,29
6107814,209,1044,32345,7,62,TAS,1101,9,81
6107815,236,995,20610,4,40,TAS,773,6,57
6107816,447,1019,26146,5,50,TAS,942,7,70
6107817,435,766,1403,1,3,TAS,70,1,6
6107818,382,510,165,1,1,TAS,2,1,1
6107901,187,940,11584,3,23,TAS,478,4,36
6107902,168,981,17941,4,35,TAS,696,6,52
6107903,497,1039,31216,6,60,TAS,1066,8,79
6107904,273,1039,31058,6,60,TAS,1061,8,78
6107905,222,905,7748,2,15,TAS,333,3,25
6107906,306,1067,38360,8,73,TAS,1199,9,89
6107907,224,991,19902,4,38,TAS,755,6,56
6107908,285,991,19864,4,38,TAS,753,6,56
6107909,306,970,16096,4,31,TAS,640,5,47
6107910,479,948,12712,3,25,TAS,525,4,39
6107911,561,1012,24333,5,47,TAS,894,7,66
6107912,215,986,18868,4,36,TAS,728,6,54
6107913,307,941,11765,3,23,TAS,487,4,36
6107914,197,950,13046,3,25,TAS,539,4,40
6107915,198,1029,28484,6,55,TAS,999,8,74
6107916,247,926,9888,2,19,TAS,425,4,32
6107917,265,846,3682,1,8,TAS,166,2,13
6108001,344,873,5171,1,10,TAS,233,2,18
6108002,261,957,13978,3,27,TAS,577,5,43
6108003,359,953,13472,3,26,TAS,556,5,41
6108004,236,1048,33612,7,64,TAS,1110,9,82
6108005,402,1013,24674,5,47,TAS,903,7,67
6108006,409,974,16679,4,32,TAS,662,5,49
6108007,211,929,10251,2,20,TAS,437,4,33
6108008,453,962,14753,3,29,TAS,597,5,44
6108009,254,872,5117,1,10,TAS,228,2,17
6108010,243,1009,23639,5,45,TAS,866,7,64
6108011,326,1014,24933,5,48,TAS,913,7,68
6108101,92,1055,35294,7,68,TAS,1156,9,85
6108102,312,1017,25513,5,49,TAS,923,7,68
6108103,227,939,11443,3,22,TAS,473,4,35
6108104,225,1019,25951,5,50,TAS,934,7,69
6108105,223,987,19035,4,37,TAS,732,6,54
6108106,308,945,12282,3,24,TAS,508,4,38
6108107,502,891,6488,2,13,TAS,286,3,21
6108108,541,863,4558,1,9,TAS,200,2,15
6108109,315,876,5369,2,11,TAS,241,2,18
6108110,393,881,5736,2,11,TAS,252,2,19
6108111,450,984,18429,4,36,TAS,717,6,53
6108112,392,806,2228,1,5,TAS,107,1,8
6108202,462,894,6730,2,13,TAS,297,3,22
6108203,356,858,4237,1,9,TAS,186,2,14
6108204,285,991,19926,4,38,TAS,757,6,56
6108205,274,967,15617,3,30,TAS,632,5,47
6108206,250,1022,26845,6,52,TAS,962,8,71
6108207,205,927,10016,2,20,TAS,431,4,32
6108208,441,875,5344,2,11,TAS,238,2,18
6108209,135,1011,24074,5,46,TAS,878,7,65
6108210,128,1056,35621,7,68,TAS,1163,9,86
6108211,304,1023,27143,6,52,TAS,967,8,71
6108212,170,932,10632,3,21,TAS,448,4,33
6108213,248,977,17205,4,33,TAS,675,5,50
6108214,419,1011,24066,5,46,TAS,877,7,65
6108215,335,925,9723,2,19,TAS,414,4,31
6108216,399,997,21079,5,41,TAS,797,6,59
6108217,374,929,10210,2,20,TAS,436,4,33
6108218,343,964,15116,3,29,TAS,613,5,46
6108219,500,799,2035,1,4,TAS,99,1,8
6108220,482,881,5748,2,11,TAS,253,2,19
6108221,583,945,12226,3,24,TAS,502,4,37
6108301,267,896,6947,2,14,TAS,307,3,23
6108302,330,992,20149,4,39,TAS,765,6,57
6108303,380,947,12601,3,24,TAS,519,4,39
6108304,497,751,1206,1,3,TAS,63,1,5
6108305,355,646,481,1,1,TAS,27,1,2
6108306,254,916,8834,2,17,TAS,379,3,28
6108307,297,983,18238,4,35,TAS,708,6,52
6108308,79,1074,40215,8,77,TAS,1230,10,91
6108309,423,1001,21954,5,42,TAS,815,6,60
6108310,497,844,3575,1,7,TAS,160,2,12
6108311,400,931,10478,2,20,TAS,446,4,33
6108312,389,1032,29178,6,56,TAS,1019,8,75
6108313,172,1024,27356,6,53,TAS,972,8,72
6108402,254,947,12545,3,24,TAS,516,4,38
6108403,277,779,1604,1,4,TAS,78,1,6
6108404,208,1056,35533,7,68,TAS,1160,9,86
6108405,279,1027,28127,6,54,TAS,985,8,73
6108406,366,997,21043,5,41,TAS,795,6,59
6108407,209,923,9619,2,19,TAS,408,3,30
6108408,490,906,7824,2,15,TAS,336,3,25
6108409,419,847,3716,1,8,TAS,168,2,13
6108410,393,927,10065,2,20,TAS,432,4,32
6108411,374,882,5791,2,12,TAS,258,2,19
6108412,285,1019,26176,5,50,TAS,945,7,70
6108413,372,925,9774,2,19,TAS,416,4,31
6108414,245,930,10371,2,20,TAS,441,4,33
6108415,305,797,1975,1,4,TAS,96,1,8
6108416,325,867,4825,1,10,TAS,213,2,16
6108417,336,828,2922,1,6,TAS,136,1,10
6108418,269,1049,33851,7,65,TAS,1112,9,82
6108419,261,988,19341,4,37,TAS,740,6,55
6108420,308,915,8671,2,17,TAS,367,3,27
6108501,230,820,2663,1,6,TAS,126,1,10
6108502,300,947,12551,3,24,TAS,517,4,38
6108503,372,925,9825,2,19,TAS,419,4,31
6108504,398,944,12150,3,24,TAS,500,4,37
6108505,399,894,6768,2,13,TAS,300,3,23
6108506,469,865,4643,1,9,TAS,206,2,16
6108508,335,953,13449,3,26,TAS,554,5,41
6108509,499,825,2802,1,6,TAS,133,1,10
6108510,346,962,14822,3,29,TAS,601,5,45
6108511,666,821,2665,1,6,TAS,127,1,10
6108512,508,987,19089,4,37,TAS,733,6,54
6108513,404,1003,22290,5,43,TAS,823,7,61
6108514,511,885,5989,2,12,TAS,264,2,20
6108515,463,1021,26484,6,51,TAS,952,7,70
6108516,396,877,5457,2,11,TAS,244,2,18
6108517,536,850,3898,1,8,TAS,179,2,14
6108518,349,955,13680,3,27,TAS,561,5,42
6108519,268,915,8706,2,17,TAS,372,3,28
6108520,434,1052,34427,7,66,TAS,1132,9,84
6108521,508,876,5363,2,11,TAS,240,2,18
6108522,492,603,362,1,1,TAS,15,1,2
6108523,413,899,7173,2,14,TAS,314,3,24
6108524,374,933,10705,3,21,TAS,451,4,34
6108525,457,917,8903,2,17,TAS,384,3,29
6108526,341,903,7503,2,15,TAS,325,3,24
6108527,290,806,2221,1,5,TAS,106,1,8
6108528,391,921,9377,2,18,TAS,398,3,30
6108529,365,950,13021,3,25,TAS,538,4,40
6108530,488,983,18319,4,35,TAS,711,6,53
6108531,323,918,9038,2,18,TAS,387,3,29
6108533,369,964,15064,3,29,TAS,608,5,45
6108534,379,941,11728,3,23,TAS,485,4,36
6108535,470,919,9156,2,18,TAS,392,3,29
6108536,463,957,13934,3,27,TAS,576,5,43
6108601,320,750,1197,1,3,TAS,62,1,5
6108602,263,832,3070,1,6,TAS,141,2,11
6108603,291,887,6179,2,12,TAS,273,3,21
6108604,476,892,6578,2,13,TAS,291,3,22
6108605,132,818,2597,1,5,TAS,122,1,9
6108606,374,934,10896,3,21,TAS,456,4,34
6108607,203,787,1751,1,4,TAS,83,1,7
6108608,389,611,384,1,1,TAS,18,1,2
6108609,90,1028,28273,6,54,TAS,992,8,73
6108610,334,974,16685,4,32,TAS,663,5,49
6108611,326,1006,23090,5,44,TAS,850,7,63
6108612,382,1024,27177,6,52,TAS,969,8,72
6108613,307,656,525,1,1,TAS,31,1,3
6108614,291,706,786,1,2,TAS,44,1,4
6108615,309,749,1180,1,3,TAS,61,1,5
6108616,414,933,10696,3,21,TAS,450,4,34
6108701,309,951,13167,3,26,TAS,543,4,40
6108702,256,913,8458,2,17,TAS,357,3,27
6108703,218,960,14478,3,28,TAS,592,5,44
6108704,273,920,9206,2,18,TAS,393,3,29
6108705,329,1050,33885,7,65,TAS,1114,9,82
6108706,334,1007,23306,5,45,TAS,855,7,63
6108707,661,925,9771,2,19,TAS,415,4,31
6108708,313,877,5480,2,11,TAS,245,2,18
6108709,283,846,3666,1,7,TAS,165,2,13
6108710,361,864,4626,1,9,TAS,204,2,15
6108711,365,1014,24918,5,48,TAS,912,7,67
6108712,522,842,3485,1,7,TAS,155,2,12
6108801,196,1073,39864,8,76,TAS,1222,9,90
6108802,799,1035,30166,6,58,TAS,1042,8,77
6108803,613,992,20118,4,39,TAS,764,6,57
6108804,484,926,9957,2,19,TAS,428,4,32
6108805,612,963,14977,3,29,TAS,605,5,45
6108806,372,1054,35051,7,67,TAS,1150,9,85
6108901,439,1007,23273,5,45,TAS,854,7,63
6108902,235,1042,32036,7,61,TAS,1091,9,81
6108903,192,971,16265,4,31,TAS,646,5,48
6108904,183,1012,24436,5,47,TAS,899,7,67
6108905,569,916,8761,2,17,TAS,374,3,28
6108906,560,1011,24100,5,46,TAS,884,7,65
6108907,921,994,20407,4,39,TAS,770,6,57
6108908,391,1043,32167,7,62,TAS,1096,9,81
6108909,264,1026,27763,6,53,TAS,979,8,72
6108910,430,1034,29834,6,57,TAS,1037,8,77
6108911,378,937,11200,3,22,TAS,462,4,34
6108912,300,1051,34282,7,66,TAS,1126,9,83
6108913,162,1062,37057,8,71,TAS,1182,9,87
6109001,448,1051,34158,7,65,TAS,1122,9,83
6109002,540,980,17734,4,34,TAS,689,6,51
6109003,170,1096,45407,9,87,TAS,1316,10,97
6109004,464,933,10752,3,21,TAS,452,4,34
6109005,232,1023,27037,6,52,TAS,965,8,71
6109006,498,973,16586,4,32,TAS,659,5,49
6109007,212,956,13807,3,27,TAS,568,5,42
6109008,250,922,9388,2,18,TAS,399,3,30
6109102,289,942,11911,3,23,TAS,493,4,37
6109103,304,932,10663,3,21,TAS,449,4,33
6109104,296,955,13777,3,27,TAS,567,5,42
6109105,523,769,1455,1,3,TAS,72,1,6
6109106,429,964,15055,3,29,TAS,607,5,45
6109107,248,926,9976,2,19,TAS,429,4,32
6109108,378,852,3994,1,8,TAS,181,2,14
6109109,345,977,17221,4,33,TAS,676,5,50
6109110,521,1028,28398,6,55,TAS,995,8,74
6109111,323,973,16483,4,32,TAS,654,5,49
6109112,433,1002,22178,5,43,TAS,819,7,61
6109113,395,895,6847,2,14,TAS,302,3,23
6109114,413,1015,25140,5,48,TAS,919,7,68
6109115,329,951,13182,3,26,TAS,545,5,41
6109116,292,957,14076,3,27,TAS,580,5,43
6109117,316,926,9896,2,19,TAS,426,4,32
6109118,257,864,4622,1,9,TAS,203,2,15
6109201,286,983,18403,4,36,TAS,715,6,53
6109202,445,1009,23707,5,46,TAS,868,7,64
6109203,486,1003,22299,5,43,TAS,824,7,61
6109204,218,1056,35614,7,68,TAS,1162,9,86
6109205,379,1049,33868,7,65,TAS,1113,9,82
6109206,323,1011,24089,5,46,TAS,881,7,65
6109207,331,1011,24292,5,47,TAS,891,7,66
6109208,385,1025,27533,6,53,TAS,977,8,72
6109209,219,1062,37091,8,71,TAS,1184,9,87
6109301,403,1019,26159,5,50,TAS,944,7,70
6109302,278,956,13845,3,27,TAS,572,5,42
6109303,293,913,8457,2,17,TAS,356,3,27
6109304,396,937,11297,3,22,TAS,464,4,35
6109305,200,1041,31702,7,61,TAS,1085,8,80
6109401,373,995,20627,4,40,TAS,777,6,58
6109402,295,881,5763,2,11,TAS,254,2,19
6109403,207,975,16813,4,32,TAS,666,5,49
6109404,299,916,8853,2,17,TAS,381,3,28
6109405,590,991,19928,4,38,TAS,758,6,56
6109406,299,962,14796,3,29,TAS,600,5,45
6109407,302,980,17761,4,34,TAS,691,6,51
6109408,342,997,20970,4,40,TAS,793,6,59
6109409,328,987,19097,4,37,TAS,734,6,54
6109410,215,995,20621,4,40,TAS,776,6,57
6109411,483,980,17691,4,34,TAS,686,6,51
6109413,288,965,15307,3,30,TAS,618,5,46
6109501,347,968,15670,3,30,TAS,633,5,47
6109502,194,980,17773,4,34,TAS,692,6,51
6109503,329,881,5716,2,11,TAS,251,2,19
6109504,451,966,15386,3,30,TAS,623,5,46
6109505,366,1017,25496,5,49,TAS,922,7,68
6109506,372,943,11971,3,23,TAS,495,4,37
6109507,231,1041,31745,7,61,TAS,1086,8,80
6109508,344,851,3921,1,8,TAS,180,2,14
6109509,199,1001,22063,5,42,TAS,816,6,60
6109510,262,1001,21933,5,42,TAS,814,6,60
6109511,299,945,12234,3,24,TAS,504,4,38
6109512,537,709,808,1,2,TAS,45,1,4
6109601,250,822,2710,1,6,TAS,128,1,10
6109602,438,979,17652,4,34,TAS,683,6,51
6109603,429,1019,26144,5,50,TAS,941,7,70
6109604,201,1006,23031,5,44,TAS,848,7,63
6109605,322,1030,28780,6,55,TAS,1010,8,75
6109606,354,1011,24182,5,46,TAS,888,7,66
6109607,350,964,15106,3,29,TAS,612,5,45
6109608,336,1004,22622,5,44,TAS,836,7,62
6109609,236,925,9829,2,19,TAS,420,4,31
6109610,289,958,14177,3,27,TAS,584,5,43
6109611,374,962,14759,3,29,TAS,598,5,44
6109613,109,977,17266,4,33,TAS,677,5,50
6109701,389,848,3773,1,8,TAS,170,2,13
6109702,192,916,8851,2,17,TAS,380,3,28
6109703,189,925,9849,2,19,TAS,423,4,32
6109704,661,967,15556,3,30,TAS,631,5,47
6109705,342,916,8773,2,17,TAS,376,3,28
6109707,283,892,6584,2,13,TAS,292,3,22
6109708,271,863,4525,1,9,TAS,198,2,15
6109709,171,940,11669,3,23,TAS,481,4,36
6109710,366,884,5937,2,12,TAS,262,2,20
6109711,397,883,5867,2,12,TAS,260,2,20
6109712,428,800,2052,1,4,TAS,101,1,8
6109713,476,976,17080,4,33,TAS,671,5,50
6109714,168,955,13744,3,27,TAS,564,5,42
6109715,37,864,4576,1,9,TAS,201,2,15
6109717,312,849,3821,1,8,TAS,174,2,13
7100201,1279,1032,29179,6,56,NT,291,7,62
7100202,883,1077,41016,8,79,NT,398,9,84
7100203,695,1056,35652,7,68,NT,357,8,76
7100204,275,1078,41362,8,79,NT,400,9,85
7100205,859,1064,37685,8,72,NT,374,8,79
7100207,215,1127,50937,10,97,NT,464,10,98
7100208,345,1068,38678,8,74,NT,382,9,81
7100401,727,1072,39738,8,76,NT,385,9,82
7100402,561,927,9980,2,19,NT,157,4,34
7100403,446,1128,51074,10,98,NT,465,10,98
7100404,556,1090,44194,9,85,NT,423,9,90
7100405,741,1067,38443,8,74,NT,380,9,81
7100406,230,1125,50718,10,97,NT,460,10,97
7100501,289,1151,52428,10,100,NT,474,10,100
7100502,563,1087,43457,9,83,NT,420,9,89
7100503,746,1037,30450,6,58,NT,301,7,64
7100504,406,1044,32496,7,62,NT,325,7,69
7100505,460,1096,45585,9,87,NT,433,10,92
7100506,255,1139,51974,10,99,NT,470,10,99
7100507,526,1122,50246,10,96,NT,457,10,97
7100601,463,1022,26660,6,51,NT,273,6,58
7100603,222,306,7,1,1,NT,6,1,2
7100605,354,1067,38404,8,74,NT,379,8,80
7100606,592,1068,38731,8,74,NT,383,9,81
7100607,629,897,7022,2,14,NT,143,4,31
7100608,512,1136,51786,10,99,NT,469,10,99
7100701,244,1065,37909,8,73,NT,375,8,79
7100702,191,1107,47814,10,91,NT,443,10,94
