2011 Statistical Area Level 1  (SA1) 7-Digit Code,Usual Resident Population,Score,Ranking within Australia Rank,Ranking within Australia Decile, Ranking within Australia Percentile,Ranking within State or Territory State,Ranking within State or Territory Rank,Ranking within State or Territory Decile,Ranking within State or Territory Percentile
2108114,537,928,10116,2,20,VIC,2157,2,17
2108115,242,888,6265,2,12,VIC,1330,2,11
2108116,499,866,4764,1,10,VIC,1001,1,8
2108117,588,901,7326,2,14,VIC,1545,2,12
2108118,298,999,21555,5,41,VIC,4752,4,37
2108119,211,1061,36884,8,71,VIC,8833,7,69
2108120,496,932,10638,3,21,VIC,2260,2,18
2108121,358,906,7858,2,15,VIC,1669,2,13
2108122,436,958,14118,3,27,VIC,3046,3,24
2108123,350,917,8866,2,17,VIC,1890,2,15
2108124,262,917,8872,2,17,VIC,1894,2,15
2108125,561,928,10104,2,20,VIC,2152,2,17
2108126,461,921,9360,2,18,VIC,1990,2,16
2108127,286,803,2140,1,5,VIC,361,1,3
2108128,391,963,14837,3,29,VIC,3192,3,25
2108129,225,730,979,1,2,VIC,131,1,2
2108130,267,594,326,1,1,VIC,43,1,1
2108201,102,1017,25601,5,49,VIC,5761,5,45
2108202,393,989,19563,4,38,VIC,4282,4,34
2108203,551,1011,24257,5,47,VIC,5444,5,43
2108204,336,1005,22877,5,44,VIC,5091,4,40
2108205,328,1037,30643,6,59,VIC,7155,6,56
2108206,209,1034,29824,6,57,VIC,6918,6,54
2108207,220,1047,33212,7,64,VIC,7844,7,61
2108208,269,936,11159,3,22,VIC,2381,2,19
2108209,251,966,15448,3,30,VIC,3325,3,26
2108210,218,1011,24152,5,46,VIC,5421,5,42
2108211,420,955,13711,3,27,VIC,2967,3,23
2108212,338,949,12810,3,25,VIC,2753,3,22
2108213,218,957,13936,3,27,VIC,3006,3,24
2108214,244,978,17453,4,34,VIC,3774,3,30
2108215,286,1016,25346,5,49,VIC,5689,5,44
2108216,350,969,15908,4,31,VIC,3418,3,27
2108217,146,837,3281,1,7,VIC,636,1,5
2108218,308,1023,26987,6,52,VIC,6135,5,48
2108219,499,1024,27242,6,52,VIC,6195,5,48
2108220,174,991,19907,4,38,VIC,4362,4,34
2108221,259,1001,22040,5,42,VIC,4870,4,38
2108222,315,1048,33440,7,64,VIC,7899,7,62
2108223,149,945,12312,3,24,VIC,2645,3,21
2108224,393,962,14834,3,29,VIC,3191,3,25
2108225,307,952,13271,3,26,VIC,2859,3,23
2108401,416,871,5028,1,10,VIC,1067,1,9
2108402,485,924,9660,2,19,VIC,2052,2,16
2108403,300,842,3497,1,7,VIC,692,1,6
2108404,537,974,16693,4,32,VIC,3606,3,28
2108405,424,970,16103,4,31,VIC,3467,3,27
2108406,624,950,12956,3,25,VIC,2787,3,22
2108407,471,1008,23396,5,45,VIC,5228,5,41
2108408,299,962,14699,3,28,VIC,3167,3,25
2108409,315,1026,27659,6,53,VIC,6321,5,49
2108410,391,992,20147,4,39,VIC,4419,4,35
2108411,335,977,17175,4,33,VIC,3710,3,29
2108412,302,1020,26230,5,50,VIC,5933,5,46
2108413,209,1023,27011,6,52,VIC,6148,5,48
2108414,227,937,11300,3,22,VIC,2409,2,19
2108415,245,808,2275,1,5,VIC,393,1,4
2108416,451,1015,25173,5,48,VIC,5641,5,44
2108417,352,860,4332,1,9,VIC,909,1,8
2108418,363,895,6822,2,13,VIC,1441,2,12
2108419,331,870,4992,1,10,VIC,1055,1,9
2108420,302,934,10820,3,21,VIC,2306,2,18
2108421,396,880,5669,2,11,VIC,1193,1,10
2108423,263,987,19207,4,37,VIC,4191,4,33
2108424,445,954,13620,3,26,VIC,2939,3,23
2108425,270,1019,26009,5,50,VIC,5879,5,46
2108426,224,1032,29219,6,56,VIC,6743,6,53
2108427,279,1015,25077,5,48,VIC,5611,5,44
2108428,203,1062,37144,8,71,VIC,8915,7,69
2108501,276,797,1990,1,4,VIC,324,1,3
2108502,272,853,4010,1,8,VIC,826,1,7
2108503,222,894,6776,2,13,VIC,1434,2,12
2108504,311,883,5861,2,12,VIC,1232,1,10
2108505,440,1016,25296,5,49,VIC,5670,5,44
2108506,357,825,2800,1,6,VIC,527,1,5
2108507,290,904,7626,2,15,VIC,1618,2,13
2108508,127,580,297,1,1,VIC,39,1,1
2108509,426,864,4613,1,9,VIC,971,1,8
2108510,168,806,2217,1,5,VIC,381,1,3
2108511,347,912,8373,2,16,VIC,1788,2,14
2108512,286,886,6092,2,12,VIC,1287,1,10
2108513,231,1010,23935,5,46,VIC,5366,5,42
2108514,443,980,17737,4,34,VIC,3829,3,30
2108515,386,958,14227,3,28,VIC,3073,3,24
2108516,354,1048,33602,7,64,VIC,7951,7,62
2108517,241,1001,21967,5,42,VIC,4848,4,38
2108518,341,934,10895,3,21,VIC,2320,2,18
2108519,285,972,16464,4,32,VIC,3552,3,28
2108520,428,928,10193,2,20,VIC,2174,2,17
2108521,170,1005,22911,5,44,VIC,5102,4,40
2108522,322,970,16027,4,31,VIC,3439,3,27
2108601,178,1034,29771,6,57,VIC,6901,6,54
2108602,226,1019,26043,5,50,VIC,5885,5,46
2108603,508,985,18773,4,36,VIC,4101,4,32
2108604,412,1062,37041,8,71,VIC,8891,7,69
2108605,538,1040,31451,6,60,VIC,7352,6,57
2108606,500,999,21528,5,41,VIC,4746,4,37
2108607,539,981,17902,4,35,VIC,3875,3,30
2108608,312,947,12585,3,24,VIC,2699,3,21
2108609,271,933,10788,3,21,VIC,2297,2,18
2108610,476,982,18150,4,35,VIC,3935,4,31
2108611,255,947,12541,3,24,VIC,2693,3,21
2108612,293,963,14839,3,29,VIC,3193,3,25
2108613,164,978,17309,4,33,VIC,3744,3,29
2108614,343,951,13204,3,26,VIC,2846,3,22
2108615,266,1069,38997,8,75,VIC,9457,8,74
2108616,320,916,8794,2,17,VIC,1875,2,15
2108701,379,954,13579,3,26,VIC,2929,3,23
2108702,208,862,4487,1,9,VIC,943,1,8
2108703,196,1043,32169,7,62,VIC,7560,6,59
2108704,270,1049,33727,7,65,VIC,7985,7,62
2108705,317,1029,28540,6,55,VIC,6567,6,51
2108706,291,936,11050,3,22,VIC,2352,2,19
2108707,268,958,14131,3,27,VIC,3048,3,24
2108708,179,933,10745,3,21,VIC,2288,2,18
2108709,437,926,9901,2,19,VIC,2094,2,17
2108710,209,1045,32623,7,63,VIC,7674,6,60
2108711,439,995,20748,4,40,VIC,4549,4,36
2108712,339,939,11451,3,22,VIC,2441,2,19
2108713,444,876,5376,2,11,VIC,1132,1,9
2108714,453,1005,22878,5,44,VIC,5092,4,40
2108715,411,950,12946,3,25,VIC,2786,3,22
2108716,445,1021,26503,6,51,VIC,6006,5,47
2108717,263,1016,25261,5,49,VIC,5663,5,44
2108718,192,1024,27407,6,53,VIC,6248,5,49
2108719,495,1067,38547,8,74,VIC,9321,8,73
2108720,618,1036,30336,6,58,VIC,7058,6,55
2108721,209,1066,38190,8,73,VIC,9223,8,72
2108722,382,1021,26585,6,51,VIC,6033,5,47
2108723,362,1028,28308,6,54,VIC,6501,6,51
2108724,195,977,17252,4,33,VIC,3726,3,29
2108725,176,991,19988,4,39,VIC,4384,4,34
2108801,115,995,20600,4,40,VIC,4521,4,35
2108901,538,959,14239,3,28,VIC,3078,3,24
2108902,320,983,18267,4,35,VIC,3969,4,31
2108903,293,1050,34069,7,65,VIC,8064,7,63
2108904,435,1017,25555,5,49,VIC,5749,5,45
2108905,465,896,6903,2,14,VIC,1460,2,12
2108906,232,887,6212,2,12,VIC,1317,2,11
2108907,478,964,15032,3,29,VIC,3228,3,25
2108908,607,921,9380,2,18,VIC,1993,2,16
2108909,335,956,13881,3,27,VIC,2995,3,24
2108910,302,1052,34425,7,66,VIC,8160,7,64
2108911,319,1010,23871,5,46,VIC,5341,5,42
2108912,387,1053,34713,7,67,VIC,8235,7,64
2108913,239,1065,38041,8,73,VIC,9175,8,71
2108914,368,1028,28367,6,54,VIC,6521,6,51
2108915,245,1030,28713,6,55,VIC,6616,6,52
2108916,286,1037,30421,6,58,VIC,7083,6,55
2108917,439,1021,26611,6,51,VIC,6039,5,47
2108918,351,1022,26861,6,52,VIC,6105,5,48
2108919,631,1039,31050,6,60,VIC,7258,6,57
